,author,field
0,rkKMIwMAAAAJ,Computer Science
1,TgGwQNIAAAAJ,Computer Science
2,2PgLUpcAAAAJ,Agricultural and Biological Sciences
3,nTNXHiQAAAAJ,Agricultural and Biological Sciences
4,T8rNctUAAAAJ,Economics Econometrics and Finance
5,Hp_oX8gAAAAJ,Mechanical Engineering
6,tEi4TUQAAAAJ,Biochemistry Genetics and Molecular Biology
7,temOz2oAAAAJ,Health Professions
8,HWZAg3kAAAAJ,Physics and Astronomy
9,4P0zlyMAAAAJ,Electrical and Electronic Engineering
10,lN8KAigAAAAJ,Electrical and Electronic Engineering
11,pdqs_asAAAAJ,Computer Science
12,Yv3jCQkAAAAJ,Business Management and Accounting
13,f_JXWlMAAAAJ,Medicine
14,gjy2X4IAAAAJ,Medicine
15,k5kdH_oAAAAJ,Computer Science
16,1Hq20YIAAAAJ,Earth and Planetary Sciences
17,SWgD6vUAAAAJ,Agricultural and Biological Sciences
18,d4b7yiAAAAAJ,Agricultural and Biological Sciences
19,G8UvRUoAAAAJ,Materials Science
20,NQklxTsAAAAJ,Agricultural and Biological Sciences
21,s1EaPWMAAAAJ,Materials Science
22,hROyBlQAAAAJ,Agricultural and Biological Sciences
23,1iXhFlAAAAAJ,Social Sciences
24,-rcrP3gAAAAJ,Social Sciences
25,s9jzOw0AAAAJ,Social Sciences
26,RwTJeYMAAAAJ,Business Management and Accounting
27,yRt1qhgAAAAJ,Social Sciences
28,R1xiGW0AAAAJ,Building and Construction
29,kLu60RkAAAAJ,Computer Science
30,qb82-CIAAAAJ,Biochemistry Genetics and Molecular Biology
31,zfngGSkAAAAJ,Computer Science
32,Y4mReV4AAAAJ,Computer Science
33,Jd2Jp0wAAAAJ,Computer Science
34,WMA2-iQAAAAJ,Computer Science
35,lXpBbiEAAAAJ,Computer Science
36,h55SR68AAAAJ,Computer Science
37,laljImoAAAAJ,Chemical Engineering
38,zfW6nsMAAAAJ,Chemical Engineering
39,tFOqbZsAAAAJ,Biochemistry Genetics and Molecular Biology
40,bja9Op4AAAAJ,Chemical Engineering
41,g5hVhuQAAAAJ,Chemical Engineering
42,Cm5UegUAAAAJ,Biochemistry Genetics and Molecular Biology
43,-6reht8AAAAJ,Psychology
44,cPCHycsAAAAJ,Social Sciences
45,aFNUxNIAAAAJ,Psychology
46,TxjxrnUAAAAJ,Psychology
47,AD0WdbgAAAAJ,Social Sciences
48,6-C8WyIAAAAJ,Social Sciences
49,INTiP24AAAAJ,Social Sciences
50,AELT_0kAAAAJ,Social Sciences
51,n07X8FoAAAAJ,Agricultural and Biological Sciences
52,8R2H1LAAAAAJ,Neuroscience
53,lWjexuQAAAAJ,Neuroscience
54,_HD2h-gAAAAJ,Mathematics
55,iA8BzaoAAAAJ,Biochemistry Genetics and Molecular Biology
56,I3_igNUAAAAJ,Electrical and Electronic Engineering
57,cUX65NsAAAAJ,Agricultural and Biological Sciences
58,-b-tzzgAAAAJ,Agricultural and Biological Sciences
59,hjgJXSEAAAAJ,Agricultural and Biological Sciences
60,t2ZEe1MAAAAJ,Computer Science
